Gene Name,UTR5 Length,UTR5 GC Count,CDS Length,CDS GC Count,UTR3 Length,UTR3 GC Count,Transcript Size
Xkr4,150,108,1944,1084,1540,630,3634
Rp1,54,24,4116,1883,0,0,4170
Sox17,1082,446,1260,853,785,267,3127
Mrpl15,62,42,888,432,3253,1475,4203
Lypla1,91,69,693,326,1723,555,2507
Gm37988,22,17,189,104,614,272,825
Tcea1,100,72,906,378,1541,551,2547
Rgs20,160,95,720,376,898,371,1778
Atp6v1h,159,100,1398,610,254,82,1811
Oprk1,185,102,1143,562,3347,1237,4675
Npbwr1,105,64,990,604,2597,1131,3692
Rb1cc1,467,302,4767,1888,2373,786,7607
Alkal1,113,81,384,208,474,125,971
St18,420,167,3138,1500,2334,788,5892
Pcmtd1,412,254,1074,459,3746,1323,5232
Sntg1,1333,686,1554,739,2000,678,4887
Rrs1,116,76,1098,704,834,331,2048
Adhfe1,145,78,1398,698,1696,660,3239
Vxn,385,191,624,346,2247,902,3256
Mybl1,255,180,2256,915,2469,748,4980
Vcpip1,226,144,3663,1714,5860,1958,9749
Sgk3,333,181,1491,632,1955,656,3779
Mcmdc2,97,52,2046,836,410,196,2553
Tcf24,447,330,501,345,3245,1276,4193
Ppp1r42,155,75,1074,406,196,66,1425
Cops5,315,189,1005,452,378,141,1698
Cspp1,138,49,3594,1652,623,219,4355
Arfgef1,176,140,5541,2313,1261,497,6978
Cpa6,218,114,1317,600,397,148,1932
Prex2,328,240,4797,2208,5928,2037,11053
A830018L16Rik,464,313,1380,625,935,279,2779
Sulf1,635,321,2613,1292,2350,1002,5598
Slco5a1,640,391,2553,1275,5316,2183,8509
Prdm14,75,47,1686,886,803,362,2564
Ncoa2,222,132,4389,2355,286,164,4897
Tram1,188,135,1125,521,1625,576,2938
Lactb2,96,63,867,375,3531,1357,4494
Xkr9,464,154,1122,441,340,124,1926
Eya1,609,366,1776,890,1962,752,4347
Msc,242,159,606,402,893,453,1741
Trpa1,27,20,3378,1471,858,329,4263
Kcnb2,0,0,2724,1371,12121,4460,14845
Terf1,32,19,1266,576,970,344,2268
Sbspon,70,48,795,457,1883,738,2748
4930444P10Rik,1232,630,465,217,147,47,1844
Rpl7,284,125,813,384,66,24,1163
Rdh10,244,188,1026,549,2317,941,3587
Stau2,218,141,1713,769,1099,463,3030
Ube2w,238,176,456,186,1487,507,2181
Eloc,112,58,339,140,1563,572,2014
Tmem70,101,64,765,380,770,297,1636
Ly96,75,31,483,193,74,22,632
Jph1,285,214,1983,1099,2541,931,4809
Gdap1,110,59,1077,514,2762,1048,3949
Pi15,144,58,810,377,5969,2027,6923
Crispld1,739,434,1503,696,2230,758,4472
Crisp4,49,17,882,392,29,11,960
Defb18,0,0,258,106,0,0,258
Defb41,0,0,198,75,0,0,198
Tfap2d,234,87,1359,726,168,58,1761
Tfap2b,254,119,1380,774,4229,1823,5863
Pkhd1,236,114,12180,5823,519,191,12935
Il17a,57,34,477,267,637,196,1171
Il17f,71,33,486,264,621,228,1178
Mcm3,104,61,2439,1306,488,224,3031
Paqr8,303,171,1065,621,3962,1703,5330
Efhc1,46,31,1947,946,153,57,2146
Tram2,116,88,1113,579,5263,2600,6492
Tmem14a,331,200,300,144,537,200,1168
Gsta3,92,37,666,331,699,253,1457
Khdc1a,379,167,501,241,1107,442,1987
Khdc1c,327,141,501,242,1118,444,1946
Khdc1b,381,169,381,192,1474,612,2236
Kcnq5,0,0,2802,1478,3760,1570,6562
Rims1,0,0,4275,2202,2171,855,6446
Ppp1r14bl,22,17,462,265,1297,581,1781
Ogfrl1,124,103,1395,696,3325,1162,4844
B3gat2,709,469,975,585,3971,1632,5655
Smap1,162,137,1323,644,804,306,2289
